
start time is: 2018-01-17 09:45:04

this experiment hyperparameters are:
config_file :/home/ubuntu/wangchen/work/Indoor/config/0117train_1.conf
learning_rate = 0.00015
batch_size = 12
num_epoches = 300
model_file :/home/ubuntu/wangchen/work/Indoor/models/stn_best_model.pkl

其余要说明的事项 ：复现左边0108trian1实验,目的是使用小的学习率打印混淆矩阵,1+2 两个place 一个image。
Epoch 225: Train cost 0.0955195650458, Train acc 0.999253731343, test acc 0.780597014925
Epoch 226: Train cost 0.0951237156987, Train acc 0.998694029851, test acc 0.781343283582
Epoch 227: Train cost 0.0962214544415, Train acc 0.998507462687, test acc 0.776865671642
Epoch 228: Train cost 0.0966383367777, Train acc 0.998134328358, test acc 0.779850746269
Epoch 229: Train cost 0.0963086634874, Train acc 0.998320895522, test acc 0.788059701493
Epoch 230: Train cost 0.0943599268794, Train acc 0.999440298507, test acc 0.782835820896
Epoch 231: Train cost 0.0943092480302, Train acc 0.999067164179, test acc 0.783582089552
Epoch 232: Train cost 0.0947113260627, Train acc 0.998880597015, test acc 0.782835820896
Epoch 233: Train cost 0.095579944551, Train acc 0.998694029851, test acc 0.785074626866
Epoch 234: Train cost 0.0945707038045, Train acc 0.999253731343, test acc 0.779104477612
Epoch 235: Train cost 0.095783919096, Train acc 0.998507462687, test acc 0.783582089552
Epoch 236: Train cost 0.093983694911, Train acc 0.999067164179, test acc 0.784328358209
Epoch 237: Train cost 0.0950451865792, Train acc 0.998880597015, test acc 0.786567164179
Epoch 238: Train cost 0.0963426306844, Train acc 0.998880597015, test acc 0.784328358209
Epoch 239: Train cost 0.095975920558, Train acc 0.998134328358, test acc 0.782835820896
Epoch 240: Train cost 0.0937851667404, Train acc 0.999067164179, test acc 0.779850746269
Epoch 241: Train cost 0.0954342782497, Train acc 0.998320895522, test acc 0.782835820896
Epoch 242: Train cost 0.0954460576177, Train acc 0.998320895522, test acc 0.778358208955
Epoch 243: Train cost 0.0947667062283, Train acc 0.999440298507, test acc 0.781343283582
Epoch 244: Train cost 0.09574842453, Train acc 0.998880597015, test acc 0.788059701493
Epoch 245: Train cost 0.0967098996043, Train acc 0.998880597015, test acc 0.782835820896
Epoch 246: Train cost 0.095175601542, Train acc 0.998880597015, test acc 0.786567164179
Epoch 247: Train cost 0.0957231596112, Train acc 0.998507462687, test acc 0.782835820896
Epoch 248: Train cost 0.0957893207669, Train acc 0.998694029851, test acc 0.782089552239
Epoch 249: Train cost 0.094646461308, Train acc 0.998880597015, test acc 0.790298507463
Epoch 250: Train cost 0.0951480716467, Train acc 0.998880597015, test acc 0.784328358209
Epoch 251: Train cost 0.0942913144827, Train acc 0.999253731343, test acc 0.788805970149
Epoch 252: Train cost 0.0969755798578, Train acc 0.998507462687, test acc 0.782089552239
Epoch 253: Train cost 0.0955026373267, Train acc 0.999253731343, test acc 0.787313432836
Epoch 254: Train cost 0.0965377613902, Train acc 0.998507462687, test acc 0.785820895522
Epoch 255: Train cost 0.094149954617, Train acc 0.999440298507, test acc 0.782089552239
Epoch 256: Train cost 0.0962054729462, Train acc 0.998694029851, test acc 0.783582089552
Epoch 257: Train cost 0.0949513018131, Train acc 0.998694029851, test acc 0.785074626866
Epoch 258: Train cost 0.0945559814572, Train acc 0.999253731343, test acc 0.786567164179
Epoch 259: Train cost 0.0951875373721, Train acc 0.998507462687, test acc 0.789552238806
Epoch 260: Train cost 0.0953414365649, Train acc 0.998320895522, test acc 0.789552238806
Epoch 261: Train cost 0.0955281257629, Train acc 0.998320895522, test acc 0.785820895522
Epoch 262: Train cost 0.0956032425165, Train acc 0.998507462687, test acc 0.786567164179
Epoch 263: Train cost 0.0953983366489, Train acc 0.999067164179, test acc 0.785074626866
Epoch 264: Train cost 0.0950245410204, Train acc 0.998880597015, test acc 0.780597014925
Epoch 265: Train cost 0.096849039197, Train acc 0.998320895522, test acc 0.779850746269
Epoch 266: Train cost 0.0958963930607, Train acc 0.998134328358, test acc 0.786567164179
Epoch 267: Train cost 0.0952746495605, Train acc 0.998694029851, test acc 0.785074626866
Epoch 268: Train cost 0.0954653695226, Train acc 0.998507462687, test acc 0.786567164179
Epoch 269: Train cost 0.0952407345176, Train acc 0.998507462687, test acc 0.783582089552
Epoch 270: Train cost 0.0960686728358, Train acc 0.998694029851, test acc 0.782835820896
Epoch 271: Train cost 0.0942426472902, Train acc 0.999067164179, test acc 0.781343283582
Epoch 272: Train cost 0.0952749252319, Train acc 0.998507462687, test acc 0.785074626866
Epoch 273: Train cost 0.0943985059857, Train acc 0.998507462687, test acc 0.786567164179
Epoch 274: Train cost 0.0954394415021, Train acc 0.998320895522, test acc 0.791044776119
Epoch 275: Train cost 0.0958614200354, Train acc 0.999067164179, test acc 0.789552238806
Epoch 276: Train cost 0.0944265499711, Train acc 0.999067164179, test acc 0.790298507463
Epoch 277: Train cost 0.0957105830312, Train acc 0.998507462687, test acc 0.788059701493
Epoch 278: Train cost 0.0943120867014, Train acc 0.999067164179, test acc 0.786567164179
Epoch 279: Train cost 0.0943461880088, Train acc 0.999253731343, test acc 0.785074626866
Epoch 280: Train cost 0.0963686928153, Train acc 0.998507462687, test acc 0.792537313433
Epoch 281: Train cost 0.0955288931727, Train acc 0.998694029851, test acc 0.788805970149
Epoch 282: Train cost 0.0965478569269, Train acc 0.998694029851, test acc 0.787313432836
Epoch 283: Train cost 0.0945641174912, Train acc 0.998694029851, test acc 0.784328358209
Epoch 284: Train cost 0.0941961407661, Train acc 0.998694029851, test acc 0.787313432836
Epoch 285: Train cost 0.0950212106109, Train acc 0.998694029851, test acc 0.792537313433
Epoch 286: Train cost 0.0961445271969, Train acc 0.998880597015, test acc 0.790298507463
Epoch 287: Train cost 0.0945294871926, Train acc 0.999067164179, test acc 0.784328358209
Epoch 288: Train cost 0.0935586243868, Train acc 0.999440298507, test acc 0.786567164179
Epoch 289: Train cost 0.096099153161, Train acc 0.998507462687, test acc 0.786567164179
Epoch 290: Train cost 0.0955755934119, Train acc 0.999067164179, test acc 0.782835820896
Epoch 291: Train cost 0.0937570482492, Train acc 0.999253731343, test acc 0.784328358209
Epoch 292: Train cost 0.0947448536754, Train acc 0.999253731343, test acc 0.784328358209
Epoch 293: Train cost 0.0948153063655, Train acc 0.999253731343, test acc 0.785820895522
Epoch 294: Train cost 0.0943858101964, Train acc 0.998880597015, test acc 0.785074626866
Epoch 295: Train cost 0.0952943116426, Train acc 0.998880597015, test acc 0.789552238806
Epoch 296: Train cost 0.0954933390021, Train acc 0.998320895522, test acc 0.782835820896
Epoch 297: Train cost 0.0965551733971, Train acc 0.998320895522, test acc 0.785074626866
Epoch 298: Train cost 0.0962583199143, Train acc 0.99776119403, test acc 0.785820895522
